quality_of_education,alumni_employment,quality_of_faculty,publications,influence,citations,broad_impact,patents,target
0.02873563218390804,0.024911032028469747,0.17142857142857126,0.0,0.0,0.0,0.0,0.016166281755196306,1
0.9655172413793104,0.00711743772241993,0.9238095238095236,0.03510531594784353,0.1493305870236869,0.10161090458488228,0.09797979797979799,0.0,1
0.7241379310344828,0.0,0.9238095238095236,0.29689067201604813,0.2296601441812564,0.37794299876084264,0.2585858585858586,0.17782909930715934,1
0.37643678160919536,0.0017793594306049834,0.9047619047619047,0.320962888665998,0.26982492276004116,0.30359355638166047,0.28787878787878785,0.20323325635103925,1
0.9655172413793104,0.003558718861209965,0.9238095238095236,0.3891675025075226,0.3748712667353244,0.3444857496902107,0.3737373737373737,0.22979214780600463,1
0.5028735632183908,0.021352313167259787,0.03809523809523796,0.09027081243731194,0.0525231719876416,0.06195786864931847,0.0797979797979798,0.10277136258660508,1
0.07758620689655173,0.01779359430604982,0.9238095238095236,0.24373119358074222,0.14830072090628219,0.1486988847583643,0.12323232323232323,0.07967667436489607,1
0.16379310344827586,0.33807829181494664,0.9238095238095236,0.022066198595787363,0.03913491246138002,0.01982651796778191,0.014141414141414142,0.06812933025404157,1
0.9655172413793104,0.05338078291814946,0.9238095238095236,0.06218655967903711,0.13903192584963955,0.30359355638166047,0.14646464646464646,0.002309468822170901,1
0.5114942528735632,0.02669039145907473,0.35238095238095224,0.238716148445336,0.21627188465499483,0.19083023543990085,0.2303030303030303,0.34872979214780603,1
0.27011494252873564,0.033807829181494664,0.9238095238095236,0.04312938816449348,0.20185375901132852,0.3444857496902107,0.20707070707070707,0.7297921478060047,1
0.2557471264367816,0.15124555160142347,0.0,0.055165496489468405,0.03810504634397528,0.058240396530359353,0.0303030303030303,0.053117782909930716,1
0.06034482758620689,0.4199288256227758,0.9238095238095236,0.05315947843530592,0.09474768280123583,0.12639405204460966,0.10303030303030304,0.018475750577367202,1
0.9655172413793104,0.16725978647686832,0.9238095238095236,0.034102306920762285,0.11946446961894952,0.13506815365551425,0.09292929292929293,0.020785219399538105,1
0.117816091954023,0.08007117437722419,0.02857142857142847,0.10932798395185557,0.08650875386199794,0.07930607187112763,0.06060606060606061,0.08198614318706697,1
0.9655172413793104,0.16370106761565836,0.9238095238095236,0.06318956870611836,0.046343975283213185,0.08426270136307311,0.02727272727272727,0.04618937644341801,1
0.29885057471264365,0.12811387900355872,0.9238095238095236,0.10130391173520562,0.1380020597322348,0.09169764560099133,0.09191919191919193,0.021939953810623553,1
0.1408045977011494,0.06761565836298931,0.6190476190476191,0.16148445336008024,0.13182286302780638,0.09169764560099133,0.07171717171717172,0.09122401847575057,1
0.7902298850574713,0.10320284697508897,0.9238095238095236,0.07622868605817452,0.17713697219361482,0.15985130111524162,0.15353535353535352,0.012702078521939953,1
0.025862068965517238,0.29893238434163705,0.00952380952380949,0.08124373119358075,0.11534500514933058,0.10161090458488228,0.06767676767676768,0.20323325635103925,1
0.9655172413793104,0.06405693950177936,0.9238095238095236,0.13239719157472418,0.1544799176107106,0.3444857496902107,0.19898989898989897,0.02540415704387991,1
0.9655172413793104,0.39145907473309605,0.9238095238095236,0.05015045135406219,0.0937178166838311,0.08674101610904586,0.049494949494949494,0.06812933025404157,1
0.31034482758620685,0.27224199288256223,0.46666666666666656,0.04714142427281846,0.09989701338825951,0.06939281288723669,0.08484848484848485,0.10969976905311778,1
0.543103448275862,0.07651245551601424,0.05714285714285716,0.14744232698094284,0.141091658084449,0.10161090458488228,0.1717171717171717,0.04503464203233256,1
0.3362068965517241,0.1708185053380783,0.9238095238095236,0.04212637913741224,0.055612770339855816,0.10161090458488228,0.07171717171717172,0.21824480369515012,1
0.05459770114942529,0.23665480427046262,0.5714285714285714,0.10330992978936811,0.07415036045314109,0.2255266418835192,0.08787878787878789,0.10969976905311778,1
